"filename", "language", "C", "Ini", "C++", "comment", "blank", "total"
"g:\VSCode\Aeroponic-Farm\include\button.h", "C", 6, 0, 0, 1, 6, 13
"g:\VSCode\Aeroponic-Farm\include\motor.h", "C", 7, 0, 0, 1, 5, 13
"g:\VSCode\Aeroponic-Farm\include\ptransducer.h", "C", 24, 0, 0, 5, 7, 36
"g:\VSCode\Aeroponic-Farm\include\serialComms.h", "C", 7, 0, 0, 1, 4, 12
"g:\VSCode\Aeroponic-Farm\include\solenoids.h", "C", 10, 0, 0, 1, 3, 14
"g:\VSCode\Aeroponic-Farm\include\tasks.h", "C", 15, 0, 0, 2, 5, 22
"g:\VSCode\Aeroponic-Farm\platformio.ini", "Ini", 0, 19, 0, 9, 4, 32
"g:\VSCode\Aeroponic-Farm\src\button.cpp", "C++", 0, 0, 12, 0, 9, 21
"g:\VSCode\Aeroponic-Farm\src\main.cpp", "C++", 0, 0, 99, 16, 45, 160
"g:\VSCode\Aeroponic-Farm\src\motor.cpp", "C++", 0, 0, 20, 5, 19, 44
"g:\VSCode\Aeroponic-Farm\src\ptransducer.cpp", "C++", 0, 0, 170, 45, 65, 280
"g:\VSCode\Aeroponic-Farm\src\serialComms.cpp", "C++", 0, 0, 60, 14, 26, 100
"g:\VSCode\Aeroponic-Farm\src\solenoids.cpp", "C++", 0, 0, 86, 6, 35, 127
"g:\VSCode\Aeroponic-Farm\src\tasks.cpp", "C++", 0, 0, 65, 5, 19, 89
"Total", "-", 69, 19, 512, 111, 252, 963